id;primeiro_nome;sobrenome;email;telefone;data_contratacao;salario;comissao
1;transmit turquoise Manager;Washington Landing;Wade48@gmail.com;bricks-and-clicks functionalities;2020-06-07T10:55:31;51468;7054
2;Cambridgeshire;Savings Account Lead withdrawal;Petra6@hotmail.com;navigate;2020-06-07T17:51:26;68919;42371
3;e-business;Metal Hat Small;Geovanny80@gmail.com;Kids Industrial;2020-06-07T16:53:14;85560;89588
4;input Future payment;Handmade Concrete Pants matrix;Antonette58@yahoo.com;Avon;2020-06-07T09:54:41;46193;71584
5;Latvia;definition mesh 4th generation;Lois_Padberg36@hotmail.com;Shirt Chief Baby;2020-06-07T04:46:50;5177;60009
6;Hawaii invoice channels;ivory Representative haptic;Nicholaus61@gmail.com;Creative Versatile open system;2020-06-07T11:11:37;99027;74734
7;Savings Account Hill;generate FTP;Judge69@gmail.com;French Guiana deposit Zimbabwe Dollar;2020-06-07T19:38:51;51939;66127
8;Inlet innovative;strategy relationships;Jaiden.Hauck@yahoo.com;XSS e-commerce;2020-06-07T19:56:01;9406;90663
9;Metrics;Assurance cross-platform Investment Account;Ova85@hotmail.com;neural;2020-06-07T12:32:00;33123;30475
10;programming Liaison;Data networks Savings Account;Randi.Zieme@gmail.com;synthesizing Investment Account Soft;2020-06-07T20:50:58;57193;42067
